additional_info,amenities,check_in_date,check_out_date,city,country,crawl_date,description,highlight_value,hotel_star_rating,image_count,image_urls,internet,landmark,latitude,longitude,occupancy,pageurl,property_address,property_id,property_name,property_type,qts,query_time_stamp,room_price,room_types,search_term,service_value,similar_hotel,sitename,things_to_do,things_to_note,uniq_id
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper,04-08-2016,05-08-2016,Kalimpong,India,2016-07-20,"Sangsey Valley Resort is Located at the wonderful location of upper delo icchey dara gaon .Delo Hill is an extended nature park with very well maintained gardens, fountains, views of Mt. Kanchenjungha and River Teesta. There is a huge statue of Lord Hanuman near Delo. You would also find a very nice statue of Lord Buddha on the way while returning from Delo to Kalimpong. Monasteries or Buddhist gumphas form a very important feature of the surrounding and there are three important gumphas-Tharpa Choling Monastery, Zong Dog Palri Fo-Brang Monastery and Tongsa Gompa that stands witness to the journey of Buddhism in India. There is also the Lepcha Museum & Monastery situated in nearby Big Dhara which showcases everything about the Lepcha community and culture.","","",3,http://stay-imgs.stayzilla.com/resize/1200x800/67368/377870.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/67368/377866.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/67368/377868.jpg,"","",27.087429,88.5313568,3 Adults 2 Kids,https://www.stayzilla.com/stays/sangsey-valley-resort-67368?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"South Sikkim, Kalimpong",67368,Sangsey Valley Resort,Resort,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,3167per night incl. tax,3 Bedded Room,"",Not Verified,"",www.stayzilla.com,"","All taxes.|Complimentary Breakfast, Lunch and Dinner.",52a63c632d90923f7f0c394a79dce191
Acceptance Rate:100 percent|Response Time:< 6 hours,Parking|AC,04-08-2016,05-08-2016,Kanpur,India,2016-07-20,"What should you know? Enjoy unmatched service at affordable prices at Amantran Hotel. Laundry, doctor-on-call, car parking, and a travel desk for all the travel-related enquiries are available for guests. The rooms are hygienic and well-maintained. There is provision for cable-connected television and a remote control in every room. Veg and non-veg delicacies are served in the dining area or in the comfort of your room.Why should you stay here? Hotel Amantran is a value for money and comfortable accommodation. The Govindpuri Railway Station is the nearest railway station, located at a distance of 3.5 km, while the airport is 15 km far.","","",0,"","","",26.4664612,80.3474503,2 Adults 2 Kids,https://www.stayzilla.com/stays/hotel-amantran-kanpur-28733?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Ratanlal nagar, Kanpur",28733,Hotel Amantran Kanpur,Hotel,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,815per night incl. tax,Double Non-A/C Rooms,"",Not Verified,Hotel Mangalam|Hotel Maha Roopa Palace,www.stayzilla.com,"","Kindly Note:|This Tariff is not applicable for long weekends, Government Holidays and festival period.",49ad3256fc231a4c9fdb6f6f2cc00d16
Acceptance Rate:100 percent|Response Time:< 6 hours,Pickup & Drop|Parking|AC,04-08-2016,05-08-2016,Jodhpur,India,2016-07-20,"What should you know? A budget hotel, this accommodation facility is located in the heart of Jodhpur City and is easily accessible from all major tourist attractions. The hotel offers highly personalised services and delicious food. The hotel offers accommodation in its AC and non-AC rooms, which are well-maintained, hygienic, neat, and equipped with basic facilities like private bathroom with toiletries, geyser, wardrobe, and much more. The hotel also provides other facilities like parking, laundry, dry cleaning, doctor-on-call, and much more.Why should you stay here? Besides being strategically located, the hotel offers relaxing and soothing environment along with good food and facilities at a budget price.","","",18,http://stay-imgs.stayzilla.com/resize/1200x800/53742/552292.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552232.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552230.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552234.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552236.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552238.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552240.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552242.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552244.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552246.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552248.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552250.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552252.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552254.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552256.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552260.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552264.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/53742/552290.jpg,"","",26.2790203,73.0190735,2 Adults 2 Kids,https://www.stayzilla.com/stays/hotel-krishna-53742?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Shakti Nagar, Jodhpur",53742,Hotel Krishna,Hotel,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,1624per night incl. tax,Deluxe AC Double,"",Not Verified,Gouri Heritage Haveli|The Regent Hotel|Vista Rooms at Khaas Bagh|Hotel Guru International,www.stayzilla.com,"",All taxes.|Complimentary Tea.,8b5952e578717e20b311846f7aab031f
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper|Pickup & Drop|Gym|Parking|AC,04-08-2016,05-08-2016,Jalpaiguri,India,2016-07-20,"What should you know? The Riverwood Forest Retreats is part of the Dooars in North Bengal and set amidst the mountains of the foothills of the Himalayas. The rooms are spacious and fitted with modern amenities. The facilities provided to guests include car parking space, travel assistance, room service, a front office, and laundry service. The Retreat is in Dakshin Dhupjhora near Chalsa overlooking the Gorumara National Park and Murti River. There is a multi-cuisine restaurant in the retreat that serves Indian and Pan Asian food. Some activities that guests can indulge in are nature walks, cycling, trekking, and jeep safaris.Why should you stay here? The Riverwood Forest Retreats is an ideal place to spend a quiet vacation surrounded by the best nature has to offer.","","",9,http://stay-imgs.stayzilla.com/resize/1200x800/15468/44712.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/15468/44702.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/15468/44696.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/15468/44698.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/15468/44700.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/15468/44704.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/15468/44706.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/15468/44708.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/15468/44710.jpg,"","",26.8085194,88.8236008,1 Adult 2 Kids,https://www.stayzilla.com/stays/the-riverwood-forest-retreats-15468?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Dakshin Dhupjhora, Jalpaiguri",15468,The Riverwood Forest Retreats,Hotel,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,3509per night incl. tax,Premium Single A/c,"",Not Verified,"",www.stayzilla.com,"",All taxes|Complimentary Breakfast|Kindly Note:|Extra Bed will be provided at additional charges that has to be paid to the hotel management at the time of direct check-in.|child above 4 years will be chargeable that has to be paid to the hotel management at the time of direct check-in.,032d715cabef6d4633e753de416929a8
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,04-08-2016,05-08-2016,Kanpur,India,2016-07-20,"What should you know? Located at a walking distance from the South X Mall, Hotel Vijay Inter Continental provides a wide range of services to its guests such as Wi-Fi access, a doctor-on-call, a gym, a swimming pool, babysitting facility, car rental, 24-hour room service, a TV with cable connection, a minibar, a coffee shop, an in-house restaurant, direct-dial STD / ISD phones, laundry service, a bar/lounge, valet parking, banquet facilities, and an in-room tea/coffee maker. The hotel has a total of 95 rooms that are distributed in the form of deluxe, executive, suites and presidential suites.Why should you stay here? The hotel is close to several tourist spots such as Phool Bagh, Kanpur Memorial Church, Allen Forest Zoo, Jain glass Temple and Shri Radhakrishna Temple.","","",5,http://stay-imgs.stayzilla.com/resize/1200x800/47032/974178.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/47032/974170.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/47032/974172.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/47032/974174.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/47032/974176.jpg,"","",26.4882011,80.3266296,2 Adults 2 Kids,https://www.stayzilla.com/stays/hotel-vijay-inter-continental-47032?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"John Wallinger Ave, Kanpur",47032,Hotel Vijay Inter Continental,Hotel,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,5802per night incl. tax,Deluxe AC Double,"",Not Verified,Hotel Royal Cliff,www.stayzilla.com,"","Complimentary Breakfast.|Complimentary WiFi.|Complimentary Tea/Coffee maker in the room.|Service charge 10%|Kindly Note:|This Tariff is not applicable for long weekends, Government Holidays and festival period.",ed546591dba770faae0ec3edadb0fcde
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Free Breakfast|Newspaper|AC,04-08-2016,05-08-2016,Jammu,India,2016-07-20,"What should you know? The hotel is situated on BC Road . It offers facilities like 24-hour front desk, free parking, power backup, doctor-on-call, taxi service, sightseeing service, laundry service, and luggage storage space. This property offers accommodation in 20 rooms that come with in-rooms amenities like air-conditioning, attached bathroom, hot and cold water, room service, telephone facility, cable television, and a wardrobe. The hotel houses a multi-cuisine restaurant that serves North Indian cuisines.Why should you stay here? Here, family vacationers and leisure travellers are provided with comfortable stay and have the opportunity to visit tourist attractions like Bahu Fort and Raghunath Temple.","","",60,http://stay-imgs.stayzilla.com/resize/1200x800/61528/881688.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/385466.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/385452.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/385454.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/385456.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/385458.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/385460.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/385462.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/385464.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/385468.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554770.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554772.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554774.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554776.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554778.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554780.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554782.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554784.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554786.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554788.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554790.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554792.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554794.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554796.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554798.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554800.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554802.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554804.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554806.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554808.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554810.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554812.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554814.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554816.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554818.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554820.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554822.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554824.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554826.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554828.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554830.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554832.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554834.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554836.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554838.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554840.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/554842.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/751126.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/751128.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/751130.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/751132.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/751134.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/751136.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/751138.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/751140.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/881660.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/881680.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/881682.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/881686.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61528/881684.jpg,"","",32.7387009,74.8655472,2 Adults 2 Kids,https://www.stayzilla.com/stays/hotel-red-rose-61528?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Jammu, Jammu",61528,Hotel Red Rose,Hotel,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,1400per night incl. tax,Deluxe A/c Double (EP),"",Not Verified,Hotel Natraj|Hotel Park Inn|Hotel Ashoka New Diamond|Hotel The Plaza,www.stayzilla.com,"",CP - Complementary Breakfast.|MAP - Complementary Breakfast Lunch or Dinner.|WiFi facilities.,9d22e9885376cb00d1027ad4e8951d52
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi,04-08-2016,05-08-2016,Jodhpur,India,2016-07-20,"What should you know? Hotel Inn Season Jodhpur is a heritage hotel, which offers 10 luxury suites and 5 rooms. The in-room amenities include refrigerators, cable televisions, wifi connection, shaving mirrors, and dryers. The facilities provided by the hotel are 24-hour room service, laundry service, money exchange, Jodhpur sight-seeing, village safari, and a travel desk. It also has an outdoor pool and offers activities like tennis, golf, snooker and squash.Why should you stay here? Hotel Inn Season Jodhpur gives you a glimpse of the royal lifestyle and provides a pleasant stay.","","","","","","",26.2718601,73.0227737,2 Adults 2 Kids,https://www.stayzilla.com/stays/hotel-inn-season-28525?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"PWD Road, Jodhpur",28525,Hotel Inn Season,Hotel,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,4062per night incl. tax,Luxury Suite AC Double,"",Not Verified,The Fern Residency,www.stayzilla.com,"",All taxes.|Complimentary Break Fast.,b19c23cfd4efef0990c1eca9a2726680
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,04-08-2016,05-08-2016,Velankanni,India,2016-07-20,"What should you know? This property is located between East Coast main road and the backwater channels of Kaduvaiyaru river. It is a an economy resort that gives the guests a chance to experience the backwaters. The facilities offered in this resort are water villas, boating in lake, wifi, driver rest room, car parking, and a doctor-on-call etc. There is an in-house multi-cuisine restaurant called Grandma that offers home cooked food.Why should you stay here? neha.aggarwal.wpc@gmail.comHi. Please look at this article. It has been edited. And this should give you a good picture of how a hotel info content should look like.","","",12,http://stay-imgs.stayzilla.com/resize/1200x800/22029/183744.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183706.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183708.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183710.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183714.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183718.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183722.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183726.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183730.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183734.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183736.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/22029/183740.jpg,"","",10.7195148,79.8324127,1 Adult 2 Kids,https://www.stayzilla.com/stays/velankanni-lake-resort-22029?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Karuvelankadai Village, Velankanni",22029,Velankanni Lake Resort,Resort,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,2878per night incl. tax,Water Villas AC Traditional Cott,"",Not Verified,"",www.stayzilla.com,"",All taxes.|Complimentary Breakfast Will be Provide only for A/C Cottage.|Kindly Note:|Extra Bed will be Provided at additional charges that has to be paid to the hotel management at the time of direct check-in.,6af86618d2b757a0686d46727df276a8
Acceptance Rate:100 percent|Response Time:> 24 hours,Newspaper|AC,04-08-2016,05-08-2016,Jammu,India,2016-07-20,"What should you know? The hotel is situated in lower R.N Bazar. It offers facilities like front desk, wi-fi access, foreign exchange assistance, parking facility, doctor-on-call, intercom facility, and 24-hour security. This property offers accommodation in 11 rooms that come with amenities like room service, air-conditioning, attached bathroom, cable television, electronic safe, daily housekeeping, and an electronic safe. The hotel also has an in-house multi-cuisine restaurant where guests can enjoy a variety of delectable dishes.Why should you stay here? The hotel provides good accommodation with modern facilities for family vacationers, leisure travellers, and couples.","","",32,http://stay-imgs.stayzilla.com/resize/1200x800/61628/554966.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/353818.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/353820.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/353822.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/353824.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/353826.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/353828.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/353830.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/390302.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554920.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554922.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554924.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554926.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554928.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554930.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554932.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554934.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554936.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554938.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554940.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554942.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554944.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554946.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554948.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554950.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554952.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554954.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554956.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554958.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554960.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554962.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/61628/554964.jpg,"","",32.7391319,74.8653717,2 Adults 2 Kids,https://www.stayzilla.com/stays/hotel-novelty-61628?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Lower Raghunath Bazar, Jammu",61628,Hotel Novelty,Hotel,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,979per night incl. tax,Double Non-A/C Rooms,"",Not Verified,Hotel Madhuban|Jammu International Hotel|Grace Hotel|Hotel Amrita,www.stayzilla.com,"",All taxes.|Complimentary Wifi.|Kindly Note:|Extra bed will be provided at additional charges that has to be paid to the hotel management at the time of direct check-in.,468a9d2218d6bf56c33bb5f6e6528793
Acceptance Rate:100 percent|Response Time:< 6 hours,Veg Only|Card Payment|Parking|AC,04-08-2016,05-08-2016,Jodhpur,India,2016-07-20,"What should you know? A state of the art structure, this hotel offers good ambience, warm hospitality, and relaxing accommodation. Crafted to suit the needs and desires of business travellers as well as leisure seekers, the hotel is an ideal stop-over choice. The hotel offers comfortable accommodation in its rooms, which are categorised into Family Suite, Deluxe, Executive, and Standard AC rooms. All the rooms in the hotel are spacious, well maintained, and equipped with facilities like a private bathroom, colour television, and telephone. The hotel provides services like parking, security, doctor-on-call, concierge, bar, and a restaurant.Why should you stay here? Besides being strategically located, the hotel offers a relaxing and soothing environment along with good food and facilities.","","",41,http://stay-imgs.stayzilla.com/resize/1200x800/54666/552642.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552570.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/313054.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/313058.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/313060.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/313062.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/313064.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/313066.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552576.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552578.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552580.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552582.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552584.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552586.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552588.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552590.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552592.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552594.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552596.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552598.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552600.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552602.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552604.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552606.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552608.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552610.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552612.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552614.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552616.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552618.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552620.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552622.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552624.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552626.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552628.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552630.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552632.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552634.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552636.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552638.jpg|http://stay-imgs.stayzilla.com/resize/1200x800/54666/552640.jpg,"","",26.2931786,72.9905472,2 Adults 2 Kids,https://www.stayzilla.com/stays/hotel-siddharth-kailash-54666?checkInDate=04-08-2016&checkOutDate=05-08-2016&source=propertyCard,"Sursagar, Jodhpur",54666,Hotel Siddharth Kailash,Hotel,2016-07-20 10:59:55 +0000,2016-07-20 10:59:55 +0000,2445per night incl. tax,Double A/C Rooms,"",Not Verified,Shahi Guest House|Hotel Madhuram Royale|Marvel Umed|Hotel Imperial Polo Haveli,www.stayzilla.com,"",All taxes.|Complimentary Breakfast.,055f0bc06845a9a5495666fedd28ae78
